year,month,height,weight,prize_money,dominant_hand,backhand,forehand
1978,3,1.9304,78019.2,519643.0,right,,
1996,4,,,930986.0,right,double,
1975,9,1.83,,778883.0,right,single,
1985,5,1.524,,1022094.0,right,double,
1989,6,1.65,,165430.0,right,,
1992,2,1.6,,7454.0,right,double,
1991,4,1.73,,227030.0,right,double,
1993,9,,,107795.0,right,double,
1996,1,,,3061.0,right,double,
1989,9,1.82,,38694.0,,,
1989,9,1.82,74000.0,145600.0,right,double,
1976,2,1.83,,698823.0,right,single,
1986,4,1.524,,72901.0,right,double,
1985,2,1.75,,72858.0,right,double,
1983,8,1.8,,250639.0,right,double,
1981,2,,,232909.0,left,double,
1990,6,1.8288,,623562.0,left,,
1990,12,1.76,,253075.0,left,double,
1976,6,,,336815.0,right,double,
1995,6,1.7,,38271.0,right,double,
1997,8,1.7,,7184.0,right,double,
1996,7,,,14849.0,right,double,
1988,11,1.62,,90849.0,right,,
1990,3,1.63,,1560126.0,right,double,double
1986,3,,,89103.0,right,double,
1994,11,1.72,,37343.0,,,
1967,8,1.8796,72000.0,3710447.0,right,double,
1990,6,1.7,,5464.0,right,double,
1981,7,1.75,76200.0,2074962.0,right,double,
1984,5,,,145999.0,left,double,
1985,3,1.78,,246101.0,right,,
1986,3,,,40185.0,right,double,
1991,10,1.88,,14478.0,right,double,
1967,5,,88452.0,63365.0,right,,
1994,10,,,120485.0,right,double,
1982,5,1.8,70000.0,363329.0,right,double,
1983,3,,,208348.0,right,,
1988,6,1.8,,2817697.0,left,double,
1985,1,1.78,73000.0,879598.0,right,single,
1974,8,1.85,,1836277.0,right,single,
1978,5,1.73,,239001.0,right,double,
1976,6,1.66,,568774.0,right,double,
1986,3,,,26618.0,right,double,
1992,6,,,3473.0,,,
1992,11,1.63,,65249.0,right,double,
1956,8,,,179272.0,,,
1974,3,1.93,80000.0,92834.0,right,,
1950,7,1.83,81000.0,776187.0,right,single,
1986,12,,,100429.0,left,double,
1977,12,,,64950.0,,,
1978,5,1.75,69000.0,605689.0,right,,
1985,10,1.85,,672548.0,right,double,
1993,12,,,18679.0,right,double,
1989,3,1.73,56000.0,2.2452201E7,right,double,
1995,12,,,3360.0,,,
1976,9,1.82,,3699134.0,right,single,
1970,3,,72576.0,56611.0,right,,
1992,5,,,136969.0,right,,
1962,1,1.8288,77112.0,26515.0,right,,
1985,3,1.72,72600.0,388608.0,right,single,
1975,7,1.63,,8128126.0,right,double,
1983,12,1.63,,862381.0,right,double,double
1980,3,1.83,,2387136.0,right,single,
1982,4,1.8,,5328.0,right,,
1993,5,1.8,67000.0,1362230.0,right,double,
1984,6,1.9,,1456877.0,right,double,
1971,12,,59875.2,257054.0,right,,
1968,5,,,323382.0,,,
1980,1,1.65,,1177175.0,right,double,double
1993,1,1.62,,79697.0,right,double,
1984,1,,,160615.0,,,
1996,11,,,8974.0,,,
1968,12,,77112.0,32734.0,right,,
1981,8,1.524,79833.6,181136.0,right,double,
1980,8,,,6145.0,right,single,
1954,5,1.82,,1437443.0,right,single,
1994,3,1.8288,,12150.0,right,,
1964,7,,,141177.0,,,
1996,3,1.65,,57139.0,,,
1970,9,1.77,,1294945.0,right,double,
1961,10,1.75,,1313808.0,left,,
1973,4,1.73,,1829648.0,right,double,
1976,3,1.76,67000.0,3109510.0,right,double,
1979,1,1.81,,510141.0,left,single,
1995,12,1.78,,179744.0,,,
1986,3,1.64,,4327536.0,right,double,
1974,8,1.8796,,315856.0,left,single,
1969,9,,68040.0,465408.0,right,,
1972,8,,,92858.0,,,
1983,8,,,234068.0,left,single,
1990,5,,,51022.0,right,single,
1994,6,,,80913.0,right,single,
1980,11,1.83,,83216.0,right,single,
1992,4,1.75,62000.0,82836.0,right,double,
1993,2,,,18016.0,,,
1991,1,1.61,55000.0,14529.0,right,double,
1988,11,1.63,,204950.0,left,double,
1996,5,1.84,,91126.0,,,
1997,3,1.75,,2450992.0,right,double,
1965,9,,,310585.0,right,double,
1995,1,1.73,,8269.0,right,double,
1976,3,,75751.2,388461.0,right,,
1962,2,1.8542,,375659.0,left,single,
1981,1,1.78,,251123.0,right,,
1983,1,1.85,85000.0,275090.0,right,double,
1981,6,1.78,71668.8,4031768.0,right,double,
1996,6,,,2310.0,right,double,
1980,1,,78000.0,14351.0,right,,
1993,3,,,3194.0,right,double,
1992,11,,,254875.0,right,double,
1989,5,1.96,,3202196.0,right,double,
1988,1,,,19451.0,right,double,
1992,10,1.96,77000.0,3766560.0,right,double,
1994,12,,,28426.0,left,double,
1971,7,1.78,,253056.0,right,,
1968,4,1.85,,2043057.0,right,double,
1961,10,,68040.0,58589.0,right,,
1986,2,,,25254.0,right,double,
1972,5,,,39485.0,right,,
1964,5,,,263069.0,,,
1985,3,1.6764000000000001,,4522295.0,right,,
1988,9,1.8,,155059.0,right,double,
1956,10,1.75,,1016519.0,right,,
1963,6,1.73,,357876.0,right,single,
1968,10,,,655479.0,right,single,
1945,6,1.8,69800.0,1047356.0,right,,
1962,3,1.6,,24763.0,right,,
2000,6,1.65,,4651.0,right,double,
1991,6,1.78,,95539.0,left,double,
1988,5,1.68,,99213.0,right,double,
1978,1,,,65804.0,right,double,
1970,6,,,145547.0,right,,
1956,11,1.85,,1427007.0,right,single,
1943,11,1.64,,1966487.0,right,single,
1993,7,1.83,,231610.0,right,double,
1956,6,1.8,,3655751.0,right,double,
1979,10,1.75,70000.0,1983070.0,right,single,
1978,1,1.75,69000.0,363014.0,right,double,
1999,1,,,2190.0,right,double,
1996,4,,,47407.0,right,double,
